relationship.start,relationship.end,end.identity,end.properties.name
0,1,1,Adventure
0,2,2,Animation
0,3,3,Children
0,4,4,Comedy
0,6,6,Fantasy
5,1,1,Adventure
5,3,3,Children
5,6,6,Fantasy
7,4,4,Comedy
7,9,9,Romance
8,9,9,Romance
8,10,10,Drama
8,4,4,Comedy
11,4,4,Comedy
12,13,13,Action
12,14,14,Crime
12,16,16,Thriller
15,4,4,Comedy
15,9,9,Romance
17,3,3,Children
17,1,1,Adventure
18,13,13,Action
19,1,1,Adventure
19,13,13,Action
19,16,16,Thriller
20,4,4,Comedy
20,9,9,Romance
20,10,10,Drama
21,4,4,Comedy
21,23,23,Horror
22,3,3,Children
22,1,1,Adventure
22,2,2,Animation
24,10,10,Drama
25,9,9,Romance
25,1,1,Adventure
25,13,13,Action
26,10,10,Drama
26,14,14,Crime
27,10,10,Drama
27,9,9,Romance
28,4,4,Comedy
29,4,4,Comedy
30,14,14,Crime
30,4,4,Comedy
30,16,16,Thriller
30,10,10,Drama
30,13,13,Action
31,16,16,Thriller
31,14,14,Crime
31,4,4,Comedy
32,10,10,Drama
32,23,23,Horror
32,33,33,Mystery
32,16,16,Thriller
32,14,14,Crime
34,13,13,Action
34,14,14,Crime
34,16,16,Thriller
35,37,37,Sci-Fi
35,10,10,Drama
36,9,9,Romance
36,10,10,Drama
38,10,10,Drama
39,10,10,Drama
39,3,3,Children
40,9,9,Romance
40,10,10,Drama
41,1,1,Adventure
41,10,10,Drama
41,6,6,Fantasy
41,33,33,Mystery
41,37,37,Sci-Fi
42,10,10,Drama
42,14,14,Crime
43,10,10,Drama
44,33,33,Mystery
44,37,37,Sci-Fi
44,16,16,Thriller
45,3,3,Children
45,10,10,Drama
46,9,9,Romance
46,10,10,Drama
47,10,10,Drama
47,14,14,Crime
48,51,51,IMAX
48,49,49,Documentary
50,4,4,Comedy
50,3,3,Children
52,4,4,Comedy
52,9,9,Romance
53,10,10,Drama
54,10,10,Drama
54,56,56,War
55,10,10,Drama
55,13,13,Action
55,14,14,Crime
57,10,10,Drama
58,1,1,Adventure
58,13,13,Action
58,6,6,Fantasy
59,10,10,Drama
59,16,16,Thriller
59,4,4,Comedy
60,9,9,Romance
60,10,10,Drama
61,33,33,Mystery
61,16,16,Thriller
62,10,10,Drama
62,63,63,Musical
62,2,2,Animation
62,3,3,Children
62,9,9,Romance
64,10,10,Drama
64,9,9,Romance
65,16,16,Thriller
65,33,33,Mystery
65,14,14,Crime
66,10,10,Drama
66,4,4,Comedy
66,9,9,Romance
67,1,1,Adventure
67,10,10,Drama
68,3,3,Children
68,4,4,Comedy
69,10,10,Drama
70,10,10,Drama
71,4,4,Comedy
71,9,9,Romance
71,10,10,Drama
72,10,10,Drama
72,33,33,Mystery
73,6,6,Fantasy
73,1,1,Adventure
73,3,3,Children
74,10,10,Drama
74,16,16,Thriller
75,10,10,Drama
76,4,4,Comedy
76,14,14,Crime
77,4,4,Comedy
77,9,9,Romance
78,4,4,Comedy
79,16,16,Thriller
79,37,37,Sci-Fi
79,13,13,Action
80,9,9,Romance
80,4,4,Comedy
81,4,4,Comedy
82,16,16,Thriller
82,13,13,Action
82,4,4,Comedy
82,23,23,Horror
83,13,13,Action
84,10,10,Drama
84,4,4,Comedy
85,56,56,War
85,10,10,Drama
86,9,9,Romance
86,10,10,Drama
87,13,13,Action
87,37,37,Sci-Fi
87,16,16,Thriller
88,49,49,Documentary
89,13,13,Action
89,14,14,Crime
89,10,10,Drama
89,16,16,Thriller
90,10,10,Drama
90,16,16,Thriller
91,3,3,Children
91,10,10,Drama
92,14,14,Crime
92,10,10,Drama
92,9,9,Romance
93,10,10,Drama
93,4,4,Comedy
94,10,10,Drama
94,9,9,Romance
95,10,10,Drama
95,4,4,Comedy
96,10,10,Drama
96,9,9,Romance
97,13,13,Action
97,10,10,Drama
97,1,1,Adventure
98,4,4,Comedy
98,3,3,Children
99,4,4,Comedy
100,13,13,Action
100,16,16,Thriller
101,23,23,Horror
101,16,16,Thriller
101,10,10,Drama
102,4,4,Comedy
102,23,23,Horror
102,9,9,Romance
103,10,10,Drama
103,9,9,Romance
103,4,4,Comedy
104,1,1,Adventure
104,13,13,Action
104,16,16,Thriller
105,4,4,Comedy
105,10,10,Drama
106,10,10,Drama
106,14,14,Crime
107,16,16,Thriller
107,13,13,Action
108,49,49,Documentary
109,16,16,Thriller
109,10,10,Drama
110,9,9,Romance
110,14,14,Crime
110,4,4,Comedy
110,1,1,Adventure
111,4,4,Comedy
112,16,16,Thriller
112,37,37,Sci-Fi
112,33,33,Mystery
113,4,4,Comedy
114,10,10,Drama
114,9,9,Romance
115,3,3,Children
115,4,4,Comedy
115,63,63,Musical
115,1,1,Adventure
116,49,49,Documentary
117,56,56,War
117,10,10,Drama
117,13,13,Action
118,16,16,Thriller
118,10,10,Drama
118,14,14,Crime
119,14,14,Crime
119,4,4,Comedy
119,1,1,Adventure
119,13,13,Action
120,10,10,Drama
120,33,33,Mystery
121,10,10,Drama
122,49,49,Documentary
123,10,10,Drama
123,14,14,Crime
124,9,9,Romance
124,4,4,Comedy
125,4,4,Comedy
126,10,10,Drama
127,9,9,Romance
127,4,4,Comedy
128,33,33,Mystery
128,10,10,Drama
128,9,9,Romance
129,10,10,Drama
130,4,4,Comedy
131,6,6,Fantasy
131,3,3,Children
131,1,1,Adventure
132,9,9,Romance
132,4,4,Comedy
133,10,10,Drama
134,10,10,Drama
134,9,9,Romance
135,16,16,Thriller
136,4,4,Comedy
137,49,49,Documentary
138,9,9,Romance
138,10,10,Drama
139,4,4,Comedy
140,4,4,Comedy
141,16,16,Thriller
141,10,10,Drama
141,14,14,Crime
141,13,13,Action
141,4,4,Comedy
142,3,3,Children
142,1,1,Adventure
143,10,10,Drama
144,10,10,Drama
145,10,10,Drama
145,16,16,Thriller
145,14,14,Crime
146,10,10,Drama
146,1,1,Adventure
146,51,51,IMAX
147,9,9,Romance
147,10,10,Drama
147,13,13,Action
147,56,56,War
148,23,23,Horror
148,10,10,Drama
149,13,13,Action
149,1,1,Adventure
149,4,4,Comedy
149,14,14,Crime
150,10,10,Drama
151,56,56,War
151,10,10,Drama
151,1,1,Adventure
152,10,10,Drama
152,4,4,Comedy
153,56,56,War
153,4,4,Comedy
154,3,3,Children
154,1,1,Adventure
155,10,10,Drama
155,33,33,Mystery
155,14,14,Crime
156,1,1,Adventure
156,13,13,Action
156,37,37,Sci-Fi
156,33,33,Mystery
157,16,16,Thriller
157,10,10,Drama
157,56,56,War
158,49,49,Documentary
159,9,9,Romance
159,13,13,Action
159,161,161,Western
160,33,33,Mystery
160,162,162,Film-Noir
160,16,16,Thriller
160,14,14,Crime
163,14,14,Crime
163,16,16,Thriller
163,13,13,Action
164,10,10,Drama
164,14,14,Crime
164,4,4,Comedy
165,10,10,Drama
166,9,9,Romance
166,13,13,Action
166,10,10,Drama
167,1,1,Adventure
167,10,10,Drama
167,3,3,Children
168,13,13,Action
168,1,1,Adventure
168,14,14,Crime
168,16,16,Thriller
169,4,4,Comedy
169,10,10,Drama
170,37,37,Sci-Fi
170,13,13,Action
170,16,16,Thriller
171,37,37,Sci-Fi
171,14,14,Crime
171,13,13,Action
172,4,4,Comedy
173,10,10,Drama
174,4,4,Comedy
175,23,23,Horror
176,10,10,Drama
176,4,4,Comedy
177,9,9,Romance
177,10,10,Drama
178,4,4,Comedy
178,9,9,Romance
179,3,3,Children
179,13,13,Action
180,16,16,Thriller
180,23,23,Horror
180,4,4,Comedy
181,10,10,Drama
182,13,13,Action
182,14,14,Crime
182,16,16,Thriller
183,9,9,Romance
183,4,4,Comedy
184,4,4,Comedy
185,6,6,Fantasy
185,23,23,Horror
185,33,33,Mystery
186,6,6,Fantasy
186,4,4,Comedy
187,16,16,Thriller
188,10,10,Drama
188,9,9,Romance
189,10,10,Drama
190,4,4,Comedy
190,10,10,Drama
191,10,10,Drama
191,9,9,Romance
191,4,4,Comedy
192,37,37,Sci-Fi
192,23,23,Horror
193,14,14,Crime
193,13,13,Action
193,16,16,Thriller
193,37,37,Sci-Fi
193,33,33,Mystery
193,10,10,Drama
194,10,10,Drama
194,63,63,Musical
194,9,9,Romance
195,16,16,Thriller
196,10,10,Drama
196,6,6,Fantasy
197,10,10,Drama
197,9,9,Romance
198,4,4,Comedy
199,13,13,Action
200,10,10,Drama
200,4,4,Comedy
201,49,49,Documentary
202,10,10,Drama
202,9,9,Romance
203,1,1,Adventure
203,37,37,Sci-Fi
203,13,13,Action
204,10,10,Drama
205,10,10,Drama
206,10,10,Drama
207,10,10,Drama
207,56,56,War
208,9,9,Romance
208,10,10,Drama
209,4,4,Comedy
210,10,10,Drama
210,16,16,Thriller
211,4,4,Comedy
211,10,10,Drama
212,10,10,Drama
213,23,23,Horror
214,10,10,Drama
214,9,9,Romance
215,4,4,Comedy
216,10,10,Drama
216,9,9,Romance
216,4,4,Comedy
217,16,16,Thriller
217,10,10,Drama
218,16,16,Thriller
218,13,13,Action
219,4,4,Comedy
220,16,16,Thriller
220,10,10,Drama
221,16,16,Thriller
221,10,10,Drama
222,4,4,Comedy
222,1,1,Adventure
223,9,9,Romance
223,10,10,Drama
223,4,4,Comedy
224,10,10,Drama
225,4,4,Comedy
226,4,4,Comedy
226,10,10,Drama
227,9,9,Romance
227,4,4,Comedy
227,13,13,Action
228,4,4,Comedy
228,9,9,Romance
229,1,1,Adventure
229,3,3,Children
230,2,2,Animation
230,3,3,Children
230,4,4,Comedy
230,9,9,Romance
231,16,16,Thriller
232,3,3,Children
232,10,10,Drama
233,10,10,Drama
233,63,63,Musical
234,4,4,Comedy
234,3,3,Children
234,6,6,Fantasy
235,2,2,Animation
235,3,3,Children
236,14,14,Crime
236,10,10,Drama
237,49,49,Documentary
238,14,14,Crime
238,10,10,Drama
239,4,4,Comedy
240,10,10,Drama
240,9,9,Romance
241,3,3,Children
241,4,4,Comedy
242,13,13,Action
243,4,4,Comedy
243,9,9,Romance
244,23,23,Horror
244,10,10,Drama
245,10,10,Drama
246,4,4,Comedy
247,4,4,Comedy
247,37,37,Sci-Fi
248,33,33,Mystery
248,16,16,Thriller
249,1,1,Adventure
249,3,3,Children
249,9,9,Romance
249,4,4,Comedy
249,6,6,Fantasy
250,14,14,Crime
250,16,16,Thriller
250,10,10,Drama
251,37,37,Sci-Fi
251,13,13,Action
251,1,1,Adventure
252,10,10,Drama
253,10,10,Drama
253,3,3,Children
254,10,10,Drama
255,10,10,Drama
256,9,9,Romance
256,10,10,Drama
256,6,6,Fantasy
257,10,10,Drama
257,9,9,Romance
257,56,56,War
257,161,161,Western
258,4,4,Comedy
259,10,10,Drama
259,14,14,Crime
260,10,10,Drama
261,9,9,Romance
261,10,10,Drama
262,10,10,Drama
263,10,10,Drama
263,4,4,Comedy
264,23,23,Horror
264,10,10,Drama
264,37,37,Sci-Fi
265,4,4,Comedy
266,4,4,Comedy
267,9,9,Romance
267,4,4,Comedy
268,10,10,Drama
269,4,4,Comedy
270,10,10,Drama
271,10,10,Drama
271,16,16,Thriller
272,9,9,Romance
272,4,4,Comedy
272,10,10,Drama
273,10,10,Drama
274,14,14,Crime
274,10,10,Drama
275,10,10,Drama
275,23,23,Horror
276,4,4,Comedy
276,9,9,Romance
277,16,16,Thriller
277,13,13,Action
277,14,14,Crime
278,4,4,Comedy
278,9,9,Romance
279,14,14,Crime
279,10,10,Drama
280,16,16,Thriller
280,10,10,Drama
281,16,16,Thriller
281,10,10,Drama
281,37,37,Sci-Fi
281,13,13,Action
282,14,14,Crime
282,10,10,Drama
282,13,13,Action
282,16,16,Thriller
283,4,4,Comedy
283,9,9,Romance
284,4,4,Comedy
284,9,9,Romance
285,10,10,Drama
285,14,14,Crime
285,4,4,Comedy
285,16,16,Thriller
286,10,10,Drama
287,10,10,Drama
288,10,10,Drama
288,9,9,Romance
289,10,10,Drama
289,9,9,Romance
290,161,161,Western
290,16,16,Thriller
290,13,13,Action
291,10,10,Drama
291,4,4,Comedy
292,4,4,Comedy
293,10,10,Drama
294,10,10,Drama
295,10,10,Drama
295,4,4,Comedy
296,10,10,Drama
297,4,4,Comedy
298,3,3,Children
298,2,2,Animation
299,33,33,Mystery
299,6,6,Fantasy
299,10,10,Drama
299,3,3,Children
300,13,13,Action
300,16,16,Thriller
300,10,10,Drama
301,1,1,Adventure
301,13,13,Action
301,37,37,Sci-Fi
302,4,4,Comedy
302,6,6,Fantasy
302,10,10,Drama
303,10,10,Drama
303,14,14,Crime
304,16,16,Thriller
304,4,4,Comedy
304,10,10,Drama
305,162,162,Film-Noir
305,16,16,Thriller
306,10,10,Drama
307,10,10,Drama
307,4,4,Comedy
308,10,10,Drama
308,4,4,Comedy
309,4,4,Comedy
310,10,10,Drama
311,4,4,Comedy
311,13,13,Action
311,37,37,Sci-Fi
