n.identity,n.properties.languages,n.properties.year,n.properties.imdbId,n.properties.runtime,n.properties.imdbRating,n.properties.movieId,n.properties.countries,n.properties.imdbVotes,n.properties.title,n.properties.url,n.properties.revenue,n.properties.tmdbId,n.properties.plot,n.properties.poster,n.properties.released,n.properties.budget
0,['English'],1995.0,0114709,81.0,8.3,1,['USA'],591836.0,Toy Story,https://themoviedb.org/movie/862,373554033.0,862,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,https://image.tmdb.org/t/p/w440_and_h660_face/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1995-11-22,30000000.0
5,"['English', ' French']",1995.0,0113497,104.0,6.9,2,['USA'],198355.0,Jumanji,https://themoviedb.org/movie/8844,262797249.0,8844,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",https://image.tmdb.org/t/p/w440_and_h660_face/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,1995-12-15,65000000.0
7,['English'],1995.0,0113228,101.0,6.6,3,['USA'],18615.0,Grumpier Old Men,https://themoviedb.org/movie/15602,,15602,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",https://image.tmdb.org/t/p/w440_and_h660_face/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,1995-12-22,
8,['English'],1995.0,0114885,124.0,5.6,4,['USA'],7210.0,Waiting to Exhale,https://themoviedb.org/movie/31357,81452156.0,31357,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",https://image.tmdb.org/t/p/w440_and_h660_face/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,1995-12-22,16000000.0
11,['English'],1995.0,0113041,106.0,5.9,5,['USA'],25938.0,Father of the Bride Part II,https://themoviedb.org/movie/11862,76578911.0,11862,"In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",https://image.tmdb.org/t/p/w440_and_h660_face/lf9RTErt8BSLQy98aSFblElvsCQ.jpg,1995-12-08,
12,"['English', ' Spanish']",1995.0,0113277,170.0,8.2,6,['USA'],416316.0,Heat,https://themoviedb.org/movie/949,187436818.0,949,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,https://image.tmdb.org/t/p/w440_and_h660_face/rrBuGu0Pjq7Y2BWSI6teGfZzviY.jpg,1995-12-15,60000000.0
15,"['English', ' French']",1995.0,0114319,127.0,6.2,7,"['Germany', ' USA']",29091.0,Sabrina,https://themoviedb.org/movie/11860,53672080.0,11860,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",https://image.tmdb.org/t/p/w440_and_h660_face/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,1995-12-15,58000000.0
17,['English'],1995.0,0112302,97.0,5.6,8,['USA'],7224.0,Tom and Huck,https://themoviedb.org/movie/45325,23920048.0,45325,"Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.",https://image.tmdb.org/t/p/w440_and_h660_face/lOnbEStMnDGKWJGvPEsMoZDML1b.jpg,1995-12-22,
18,['English'],1995.0,0114576,111.0,5.7,9,['USA'],24978.0,Sudden Death,https://themoviedb.org/movie/9091,64350171.0,9091,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,https://image.tmdb.org/t/p/w440_and_h660_face/4Snihptli0we9I4W5QfufOdHSeV.jpg,1995-12-22,35000000.0
19,"['English', ' Russian', ' Spanish']",1995.0,0113189,130.0,7.2,10,"['UK', ' USA']",194676.0,GoldenEye,https://themoviedb.org/movie/710,352194034.0,710,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.,https://image.tmdb.org/t/p/w440_and_h660_face/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,1995-11-17,58000000.0
