start.labels,start.properties.name,start.properties.userId,relationship.identity,relationship.start,relationship.end,relationship.properties.rating,relationship.properties.timestamp
['User'],Omar Huffman,1,20356,9145,1834,2.0,1260759108
['User'],Omar Huffman,1,20357,9145,1981,2.5,1260759113
['User'],Omar Huffman,1,20358,9145,2399,1.0,1260759200
['User'],Omar Huffman,1,20359,9145,2944,3.0,1260759117
['User'],Omar Huffman,1,20352,9145,1534,4.0,1260759191
['User'],Omar Huffman,1,20353,9145,1684,4.0,1260759139
['User'],Omar Huffman,1,20354,9145,1727,3.0,1260759194
['User'],Omar Huffman,1,20355,9145,1762,2.0,1260759198
['User'],Omar Huffman,1,20342,9145,878,3.0,1260759182
['User'],Omar Huffman,1,20343,9145,925,2.0,1260759185
['User'],Omar Huffman,1,20340,9145,43,2.5,1260759144
['User'],Omar Huffman,1,20341,9145,852,3.0,1260759179
['User'],Omar Huffman,1,20346,9145,1060,2.0,1260759187
['User'],Omar Huffman,1,20347,9145,1066,2.0,1260759148
['User'],Omar Huffman,1,20344,9145,950,4.0,1260759205
['User'],Omar Huffman,1,20345,9145,1036,2.0,1260759151
['User'],Omar Huffman,1,20350,9145,1130,2.5,1260759135
['User'],Omar Huffman,1,20351,9145,1159,1.0,1260759203
['User'],Omar Huffman,1,20348,9145,1102,3.5,1260759125
['User'],Omar Huffman,1,20349,9145,1106,2.0,1260759131
['User'],Mr. Jason Love,2,20381,9146,239,3.0,835355896
['User'],Mr. Jason Love,2,20380,9146,226,3.0,835355664
['User'],Mr. Jason Love,2,20383,9146,252,4.0,835355681
['User'],Mr. Jason Love,2,20382,9146,244,4.0,835355511
['User'],Mr. Jason Love,2,20377,9146,214,5.0,835355840
['User'],Mr. Jason Love,2,20376,9146,203,3.0,835355511
['User'],Mr. Jason Love,2,20379,9146,217,3.0,835355552
['User'],Mr. Jason Love,2,20378,9146,215,1.0,835355749
['User'],Mr. Jason Love,2,20373,9146,166,3.0,835355710
['User'],Mr. Jason Love,2,20372,9146,163,3.0,835355441
['User'],Mr. Jason Love,2,20375,9146,183,3.0,835355664
['User'],Mr. Jason Love,2,20374,9146,182,3.0,835355511
['User'],Mr. Jason Love,2,20369,9146,146,5.0,835355395
['User'],Mr. Jason Love,2,20368,9146,140,3.0,835356016
